Red: Red de Vigilancia y Control de la Contaminación AtmosféricaEstación: 46250050-València - Bulevard Sud
	
FECHA	SO2	NO	NO2	PM10	Ni	NOx	O3	As	Pb	BaP	Cd	FA	DahA	IcdP	BkFA	BjFA	BbFA	BaA
	µg/m³	µg/m³	µg/m³	µg/m³	ng/m³N	µg/m³	µg/m³	ng/m³N	µg/m³	ng/m³N	ng/m³N	ng/m³N	ng/m³N	ng/m³N	ng/m³N	ng/m³N	ng/m³N	ng/m³N
19/07/2025	3	1	10			11	68											
20/07/2025	3	1	9			10	55											
21/07/2025	3	2	12			14	64											
22/07/2025	3	1	8			9	71											
23/07/2025	3	1	10			11	67											
24/07/2025	3	1	13			14	49											
25/07/2025	3	2	11			13	60											
26/07/2025	3	1	14			15	63											
27/07/2025	3	1	8			9	75											
28/07/2025	3	5	18			25	49											
29/07/2025	3	1	8			9	71											
30/07/2025	3	1	11			12	76											
31/07/2025	3	1	13			14	79											
01/08/2025	3	2	15			17	64											
02/08/2025	3	1	13	18		14	58											
03/08/2025	3	1	7			8	69											
04/08/2025	3	2	11	23		13	69											
05/08/2025	3	2	18			21	66											
06/08/2025	3	2	14			15	76											
07/08/2025	3	1	12			14	76											
08/08/2025	3	3	17			21	67											
09/08/2025	3	1	12			13	75											
10/08/2025	3	1	14			15	66											
11/08/2025	3	2	28			31	69											
12/08/2025	3	2	14			16	93											
13/08/2025	3	3	22			26	65											
14/08/2025	3	4	25			31	56											
15/08/2025	3	1	17			18	71											
16/08/2025	3	1	20			21	68											
17/08/2025	3	1	25			25	63											
18/08/2025	3	6	21			29												
19/08/2025	3	1	9			10	95											
20/08/2025	3	2	14			15	76											
21/08/2025	3	1	11			12	69											
22/08/2025	3	1	13			13	76											
23/08/2025	3	1	7			8	84											
24/08/2025	3	1	6			6	82											
25/08/2025	3	2	12			14	78											
26/08/2025	3	2	16			18	69											
27/08/2025	3	2	14			16	68											
28/08/2025	3	2	14			17	61											
29/08/2025	3	1	7			8	71											
30/08/2025	3	1	11			12	74											
31/08/2025	3	1	10			10	73											
