14/03/2023	7	12	41	19	60
15/03/2023	11	22	47	29	81
16/03/2023	18	21	45	32	76
17/03/2023	16	11	40	28	56
18/03/2023	14	11	39	29	55
19/03/2023	17	9	35	29	49
20/03/2023	12	17	42	30	68
21/03/2023	18	31	47	36	95
22/03/2023	23	31	48	39	95
23/03/2023	27	31	51	46	99
24/03/2023	28	29	61	57	105
25/03/2023	17	9	38	29	52
26/03/2023	7	6	27	26	36
27/03/2023	6	8	30	24	43
28/03/2023	11	17	40	30	66
29/03/2023	13	30	38	30	84
30/03/2023	15	29	49	50	94
31/03/2023	10	7	27	49	37
01/04/2023	11	6	23	34	31
02/04/2023	3	3	11	17	15
03/04/2023	6	15	35	21	59
04/04/2023	7	18	40	20	67
05/04/2023	9	12	38	24	56
06/04/2023	10	16	37	25	62
07/04/2023	8	4	21	19	27
08/04/2023	11	8	25	23	36
09/04/2023	10	4	20	18	26
10/04/2023	18	5	24	26	32
11/04/2023	20	8	33	33	45
12/04/2023	11	9	31	46	45
13/04/2023	7	10	32	24	47
14/04/2023	6	9	32	30	45
15/04/2023	6	5	21	25	29
16/04/2023	5	3	18	15	23
17/04/2023	7	5	22	17	30
18/04/2023	10	11	30	21	47
19/04/2023	9	17	41	22	67
20/04/2023	11	14	44	34	66
21/04/2023	16	24	38	35	74
22/04/2023	19	6	31	33	40
23/04/2023	14	5	28	23	35
24/04/2023	12	15	34	23	57
25/04/2023	11	23	43	30	78
27/04/2023	17	20	41	30	71
28/04/2023	15	23	38	27	73
29/04/2023	12	10	32	25	48
30/04/2023	8	4	24	16	30
01/05/2023	9	5	20	16	27
02/05/2023	8	15	41	21	65
03/05/2023	10	15	38	29	60
04/05/2023	10	15	37	25	60
05/05/2023	16	13	33	30	53
06/05/2023	11	6	29	21	38
07/05/2023	9	4	21	18	28
08/05/2023	12	14	37	25	60
09/05/2023	13	17	41	33	67
10/05/2023	10	12	30	25	49
11/05/2023	7	9	29	18	42
12/05/2023	4	8	26	14	39
13/05/2023	4	6	22	10	31
14/05/2023	3	3	18	8	24
15/05/2023	9	10	36	22	50
16/05/2023	5	7	29	17	39
17/05/2023	8	8	29	21	42
18/05/2023	9	10	26	21	41
19/05/2023	10	10	39	20	54
20/05/2023	11	5	28	19	35
21/05/2023	9	3	20	15	25
22/05/2023	10	9	26	18	40
23/05/2023	12	11	39	23	56
24/05/2023	15	15	39	23	62
25/05/2023	16	16	38	28	63
26/05/2023	12	18	32	21	59
27/05/2023	19	6	27	34	36
28/05/2023	14	4	20	26	26
29/05/2023	14	13	35	26	55
30/05/2023	13	12	34	26	52
31/05/2023	14	14	38	31	59
01/06/2023	17	11	29	29	46
02/06/2023	16	10	30	24	46
03/06/2023	13	5	27	19	35
04/06/2023	10	4	19	15	24
05/06/2023	9	11	31	20	49
06/06/2023	9	12	29	18	48
07/06/2023	9	14	31	20	53
08/06/2023	11	14	33	23	54
09/06/2023	7	9	23	18	36
10/06/2023	8	5	25	16	34
11/06/2023	12	4	20	20	26
12/06/2023	11	12	29	20	46
13/06/2023	10	10	34	21	48
14/06/2023	7	13	38	18	57
15/06/2023	13	13	45	27	64
16/06/2023	15	13	42	27	61
17/06/2023	14	6	29	26	38
18/06/2023	14	3	29	24	34
19/06/2023	16	13	40	32	60
20/06/2023	21	11	42	41	59
21/06/2023	19	8	30	41	42
22/06/2023	7	9	37	16	50
23/06/2023	8	14	37	19	58
24/06/2023	10	5	26	20	34
25/06/2023	13	5	27	24	34
26/06/2023	11	8	31	22	43
27/06/2023	12	10	33	23	49
28/06/2023	13	9	30	23	44
29/06/2023	13	11	28	26	45
30/06/2023	10	9	27	22	41
01/07/2023	10	4	21	20	27
02/07/2023	10	4	21	20	28
03/07/2023	10	11	28	21	45
04/07/2023	9	12	24	18	41
05/07/2023	8	12	23	16	41
06/07/2023	9	10	23	17	38
07/07/2023	9	11	27	18	44
08/07/2023	12	7	24	23	34
09/07/2023	15	4	19	28	24
10/07/2023	17	8	25	42	37
11/07/2023	23	10	27	60	42
12/07/2023	23	11	22	54	38
13/07/2023	16	9	24	37	37
14/07/2023	14	9	24	33	38
15/07/2023	18	5	19	38	26
16/07/2023	14	3	11	30	16
17/07/2023	14	8	21	29	34
18/07/2023	19	11	26	41	42
19/07/2023	22	11	31	48	48
20/07/2023	19	8	31	40	44
21/07/2023	19	13	29	41	50
22/07/2023	15	4	16	32	21
23/07/2023	16	5	18	37	25
24/07/2023	19	13	34	47	54
25/07/2023	9	10	23	28	38
26/07/2023	8	9	27	25	41
27/07/2023	10	8	25	25	38
28/07/2023	11	8	24	23	36
29/07/2023	9	4	16	20	23
30/07/2023	11	4	15	26	21
31/07/2023	12	7	21	31	31
01/08/2023	14	10	28	31	44
02/08/2023	16	12	37	40	55
03/08/2023	10	6	21	29	30
04/08/2023	5	8	25	22	36
05/08/2023	6	4	23	18	29
06/08/2023	6	4	21	17	27
07/08/2023	9	8	23	23	34
08/08/2023	9	5	19	23	28
09/08/2023	9	11	28	24	45
10/08/2023	14	6	23	46	33
11/08/2023	11	5	24	23	31
12/08/2023	14	4	19	26	25
13/08/2023	11	3	14	19	18
14/08/2023	8	6	19	18	28
